FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
mod.rs,0.000,0.000,31506.000,708.000,false
diagnostic.rs,0.000,0.000,812.000,112.000,false
rustc_server.rs,50.137,0.275,9535.640,477.614,false
mod.rs,0.000,0.000,702.000,104.000,false
mod.rs,9.205,0.384,51.696,34.909,false
tests.rs,52.740,1.597,37.024,3.852,false
assist_config.rs,0.000,0.000,2.000,4.000,false
lib.rs,2.291,0.573,4.000,0.160,false
gen_trait_fn_body.rs,129.818,1.496,144.239,13.010,false
suggest_name.rs,140.210,1.140,123.112,9.579,false
add_missing_match_arms.rs,328.554,2.041,161.001,2.134,false
generate_getter.rs,67.500,2.250,30.000,0.283,false
generate_constant.rs,19.710,1.159,17.000,0.680,false
change_visibility.rs,31.479,0.899,35.067,5.316,false
generate_documentation_template.rs,317.772,1.892,168.001,1.922,false
generate_from_impl_for_enum.rs,54.252,1.695,32.000,1.280,false
extract_module.rs,284.918,1.451,241.107,76.735,false
add_return_type.rs,70.800,1.329,59.000,2.360,false
flip_binexpr.rs,27.077,0.967,28.009,2.489,false
replace_string_with_char.rs,39.263,1.571,25.000,1.000,false
promote_local_to_const.rs,38.000,1.000,38.029,4.108,false
flip_comma.rs,14.500,1.036,14.000,0.560,false
generate_enum_projection_method.rs,36.111,1.444,25.000,1.000,false
auto_import.rs,162.667,2.711,60.000,0.735,false
generate_enum_is_method.rs,42.881,2.257,19.000,0.760,false
convert_into_to_from.rs,98.935,2.561,43.017,3.571,false
generate_function.rs,336.806,1.733,200.040,7.989,false
replace_let_with_if_let.rs,11.111,0.926,12.000,0.480,false
extract_type_alias.rs,76.017,1.188,67.016,23.117,false
replace_try_expr_with_match.rs,16.221,1.081,15.000,0.600,false
qualify_path.rs,230.414,2.335,102.002,2.147,false
inline_call.rs,237.668,2.002,131.024,5.894,false
generate_impl.rs,14.318,1.591,9.002,1.000,false
unwrap_result_return_type.rs,156.201,2.603,60.007,3.051,false
reorder_fields.rs,50.565,1.331,38.000,0.916,false
move_bounds.rs,15.867,0.756,21.359,7.840,false
generate_is_empty_from_len.rs,42.462,1.846,23.000,0.920,false
generate_deref.rs,38.195,1.317,29.000,0.712,false
add_lifetime_to_type.rs,41.538,0.923,45.049,5.202,false
move_guard.rs,167.274,2.356,71.000,0.654,false
add_turbo_fish.rs,75.849,1.769,48.020,3.930,false
replace_if_let_with_match.rs,220.528,1.897,122.036,6.554,false
merge_match_arms.rs,147.938,2.312,64.000,0.345,false
move_module_to_file.rs,40.701,1.507,27.000,0.532,false
generate_default_from_enum_variant.rs,25.524,1.595,16.000,0.640,false
add_missing_impl_members.rs,172.247,2.970,58.000,0.393,false
fix_visibility.rs,99.345,1.361,78.124,8.531,false
toggle_ignore.rs,16.828,1.052,16.000,0.640,false
qualify_method_call.rs,77.815,3.113,25.000,1.000,false
wrap_return_type_in_result.rs,143.080,2.752,52.003,2.066,false
convert_to_guarded_return.rs,102.486,2.019,56.004,2.338,false
introduce_named_generic.rs,17.031,1.135,15.000,0.600,false
move_from_mod_rs.rs,13.950,1.163,12.000,0.480,false
extract_struct_from_enum_variant.rs,211.994,1.472,144.013,4.934,false
unmerge_use.rs,32.933,1.267,26.000,1.040,false
convert_iter_for_each_to_for.rs,116.720,1.716,68.011,3.595,false
sort_items.rs,88.057,1.572,56.002,1.996,false
unwrap_block.rs,118.000,2.542,48.000,0.295,false
inline_local_variable.rs,143.949,1.714,84.000,1.252,false
remove_unused_param.rs,77.538,1.385,56.003,2.175,false
raw_string.rs,79.075,1.438,55.000,1.084,false
convert_bool_then.rs,119.766,1.316,91.205,10.610,false
convert_while_to_loop.rs,20.764,1.483,14.000,0.560,false
generate_setter.rs,28.915,1.606,18.000,0.720,false
replace_derive_with_manual_impl.rs,185.655,2.225,87.014,4.255,false
number_representation.rs,26.331,0.940,28.000,1.120,false
remove_dbg.rs,40.084,1.307,41.002,1.853,false
convert_integer_literal.rs,30.231,1.042,29.000,1.160,false
introduce_named_lifetime.rs,58.839,0.965,61.000,0.992,false
generate_derive.rs,19.211,1.011,19.000,0.760,false
convert_tuple_struct_to_named_struct.rs,132.641,2.369,56.000,0.605,false
add_explicit_type.rs,59.737,1.694,41.000,1.640,false
extract_function.rs,965.692,1.764,569.025,47.851,false
invert_if.rs,19.624,0.853,23.005,1.937,false
expand_glob_import.rs,204.983,2.662,77.004,2.740,false
destructure_tuple_binding.rs,332.918,2.211,155.001,1.949,false
generate_default_from_new.rs,105.825,2.520,42.000,0.580,false
extract_variable.rs,240.152,2.281,113.002,2.409,false
generate_delegate_methods.rs,59.138,1.556,38.109,6.431,false
generate_new.rs,47.873,2.176,22.000,0.284,false
replace_qualified_name_with_use.rs,84.682,1.568,54.009,3.086,false
split_import.rs,15.807,0.930,17.000,0.680,false
remove_mut.rs,5.526,0.789,7.012,1.750,false
replace_turbofish_with_explicit_type.rs,40.884,1.703,31.004,2.011,false
merge_imports.rs,57.744,1.481,39.000,1.560,false
move_to_mod_rs.rs,16.693,1.284,13.000,0.520,false
reorder_impl.rs,45.000,1.500,30.002,1.548,false
flip_trait_bound.rs,14.758,0.868,17.000,0.680,false
apply_demorgan.rs,43.210,0.982,44.050,5.207,false
convert_comment_block.rs,64.071,1.643,39.000,1.560,false
pull_assignment_up.rs,111.108,1.658,67.087,7.208,false
utils.rs,171.071,0.869,211.489,27.152,false
assist_context.rs,47.687,0.782,61.000,2.440,false
sourcegen.rs,32.268,1.113,29.005,2.161,false
generated.rs,255.658,2.609,98.000,3.920,false
tests.rs,22.687,0.782,29.061,4.833,false
parser.rs,43.784,1.563,54.058,5.838,false
shortcuts.rs,38.916,0.721,54.010,3.298,false
attributes.rs,14.302,0.953,15.003,1.429,false
generic_args.rs,30.978,0.911,34.000,1.360,false
paths.rs,18.515,1.683,22.019,3.000,false
types.rs,56.191,0.992,61.003,2.179,false
params.rs,40.208,1.058,48.063,5.774,false
atom.rs,134.201,1.127,141.003,2.992,false
generic_params.rs,55.000,1.000,55.108,7.253,false
traits.rs,38.451,1.479,26.000,1.040,false
adt.rs,41.297,1.007,41.037,4.587,false
use_item.rs,22.590,1.426,26.004,1.926,false
consts.rs,10.385,1.154,9.000,0.360,false
patterns.rs,72.459,0.984,80.682,15.172,false
items.rs,94.365,1.249,103.119,9.214,false
expressions.rs,120.218,1.626,116.069,8.000,false
token_set.rs,5.750,0.719,8.208,4.741,false
lexed_str.rs,76.194,1.300,93.430,20.342,false
lib.rs,15.555,0.536,29.030,3.803,false
event.rs,8.542,0.610,14.004,1.514,false
output.rs,8.426,0.648,13.004,1.444,false
generated.rs,24.313,0.429,104.681,36.262,false
grammar.rs,58.292,0.895,71.107,7.853,false
prefix_entries.rs,16.630,0.978,17.000,0.680,false
top_entries.rs,16.607,2.076,8.000,0.320,false
sourcegen_inline_tests.rs,20.222,0.843,24.081,5.000,false
input.rs,9.500,0.679,14.000,0.560,false
syntax_kind.rs,4.091,0.455,9.000,0.360,false
child_by_source.rs,58.230,1.000,72.041,5.722,false
item_scope.rs,72.966,0.793,92.082,7.830,false
src.rs,11.077,0.615,18.000,0.720,false
attr.rs,200.880,0.857,322.292,91.776,false
