FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
active_parameter.rs,15.466,0.672,23.193,6.571,false,false,crates/ide_db/src/active_parameter.rs
add_explicit_type.rs,54.118,1.635,39.000,1.560,false,true,crates/ide_assists/src/handlers/add_explicit_type.rs
add_lifetime_to_type.rs,41.538,0.923,45.049,5.202,false,true,crates/ide_assists/src/handlers/add_lifetime_to_type.rs
add_missing_impl_members.rs,114.269,2.431,47.000,1.880,false,true,crates/ide_assists/src/handlers/add_missing_impl_members.rs
add_missing_match_arms.rs,251.988,1.984,127.002,2.690,false,true,crates/ide_assists/src/handlers/add_missing_match_arms.rs
add_reference_here.rs,21.538,1.795,12.000,0.480,false,true,crates/ide_diagnostics/src/handlers/add_reference_here.rs
add_return_type.rs,70.800,1.329,59.000,2.360,false,true,crates/ide_assists/src/handlers/add_return_type.rs
add_turbo_fish.rs,63.176,1.767,41.003,1.984,false,true,crates/ide_assists/src/handlers/add_turbo_fish.rs
adt.rs,50.694,0.676,81.723,31.837,false,true,crates/hir_def/src/adt.rs
adt.rs,38.326,0.935,42.577,16.056,false,true,crates/parser/src/grammar/items/adt.rs
algo.rs,44.754,0.714,2552.184,240.314,false,true,crates/syntax/src/algo.rs
analysis_stats.rs,0.000,0.000,5852.000,304.000,false,true,crates/rust-analyzer/src/cli/analysis_stats.rs
anchored_path.rs,0.091,0.091,1.125,2.000,false,false,crates/vfs/src/anchored_path.rs
annotations.rs,172.083,3.044,59.110,7.462,false,true,crates/ide/src/annotations.rs
apply_change.rs,1.523,0.169,56.503,30.133,false,true,crates/ide_db/src/apply_change.rs
apply_demorgan.rs,40.937,0.975,42.145,7.304,false,true,crates/ide_assists/src/handlers/apply_demorgan.rs
assert_linear.rs,0.000,0.000,600.000,96.000,false,true,crates/test_utils/src/assert_linear.rs
assist_config.rs,0.000,0.000,2.000,4.000,false,false,crates/ide_assists/src/assist_config.rs
assist_context.rs,47.687,0.782,61.000,2.440,false,true,crates/ide_assists/src/assist_context.rs
assists.rs,7.111,0.222,207.583,71.111,false,true,crates/ide_db/src/assists.rs
ast.rs,3.668,0.118,697.539,109.763,false,true,crates/syntax/src/ast.rs
ast_id_map.rs,31.338,0.627,50.199,8.602,false,true,crates/hir_expand/src/ast_id_map.rs
ast_src.rs,0.000,0.000,2.000,4.000,false,false,crates/syntax/src/tests/ast_src.rs
atom.rs,122.244,1.058,138.926,32.371,false,true,crates/parser/src/grammar/expressions/atom.rs
attr.rs,197.602,0.881,275.841,60.013,false,true,crates/hir_def/src/attr.rs
attribute.rs,111.140,2.268,49.000,1.960,false,true,crates/ide_completion/src/tests/attribute.rs
attribute.rs,28.216,0.561,64.769,30.488,false,true,crates/ide_completion/src/completions/attribute.rs
attributes.rs,14.302,0.953,15.003,1.429,false,false,crates/parser/src/grammar/attributes.rs
attrs.rs,18.831,0.506,227.577,82.828,false,true,crates/hir/src/attrs.rs
auto_import.rs,166.348,2.727,61.000,0.249,false,true,crates/ide_assists/src/handlers/auto_import.rs
autoderef.rs,35.217,0.783,45.398,10.465,false,true,crates/hir_ty/src/autoderef.rs
bench_fixture.rs,0.000,0.000,56.000,28.000,false,true,crates/test_utils/src/bench_fixture.rs
benchmark.rs,2.887,0.052,2712.900,211.957,false,true,crates/mbe/src/benchmark.rs
block.rs,45.982,3.284,14.000,0.560,false,true,crates/hir_def/src/body/tests/block.rs
block.rs,3.429,0.429,10.915,11.429,false,false,crates/syntax/src/validation/block.rs
body.rs,41.600,0.630,66.420,12.110,false,true,crates/hir_def/src/body.rs
break_outside_of_loop.rs,3.619,0.905,4.000,0.160,false,false,crates/ide_diagnostics/src/handlers/break_outside_of_loop.rs
buffer.rs,0.000,0.000,2652.000,204.000,false,true,crates/proc_macro_srv/src/abis/abi_1_55/proc_macro/bridge/buffer.rs
buffer.rs,35.955,0.642,58.189,19.871,false,true,crates/tt/src/buffer.rs
buffer.rs,0.000,0.000,1482.000,152.000,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/buffer.rs
buffer.rs,0.000,0.000,1482.000,152.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/buffer.rs
buffer.rs,0.000,0.000,2550.000,200.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/buffer.rs
build.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_test/build.rs
build.rs,0.000,0.000,306.000,68.000,false,true,crates/rust-analyzer/build.rs
build_scripts.rs,0.000,0.000,1980.000,176.000,false,true,crates/project_model/src/build_scripts.rs
builder.rs,35.055,0.746,47.170,8.000,false,true,crates/hir_ty/src/builder.rs
builder_ext.rs,27.780,0.661,42.803,12.923,false,true,crates/ide_completion/src/render/builder_ext.rs
builtin_attr.rs,0.241,0.024,10.100,4.000,false,false,crates/hir_def/src/builtin_attr.rs
builtin_attr_macro.rs,2.609,0.290,22.145,19.636,false,false,crates/hir_expand/src/builtin_attr_macro.rs
builtin_derive_macro.rs,11.721,1.953,6.000,0.240,false,true,crates/hir_def/src/macro_expansion_tests/builtin_derive_macro.rs
builtin_derive_macro.rs,19.661,0.578,65.212,40.800,false,true,crates/hir_expand/src/builtin_derive_macro.rs
builtin_fn_macro.rs,45.377,2.836,16.000,0.640,false,true,crates/hir_def/src/macro_expansion_tests/builtin_fn_macro.rs
builtin_fn_macro.rs,72.895,0.729,160.313,72.811,false,true,crates/hir_expand/src/builtin_fn_macro.rs
builtin_type.rs,17.386,0.424,91.641,51.000,false,true,crates/hir_def/src/builtin_type.rs
call_hierarchy.rs,96.164,1.414,68.307,11.018,false,true,crates/ide/src/call_hierarchy.rs
call_info.rs,101.289,1.746,58.001,1.539,false,true,crates/ide/src/call_info.rs
caps.rs,0.000,0.000,306.000,68.000,false,true,crates/rust-analyzer/src/caps.rs
cargo_target_spec.rs,0.000,0.000,2352.000,192.000,false,true,crates/rust-analyzer/src/cargo_target_spec.rs
cargo_workspace.rs,0.000,0.000,7832.000,352.000,false,true,crates/project_model/src/cargo_workspace.rs
case_conv.rs,50.667,1.034,49.005,2.545,false,true,crates/hir_ty/src/diagnostics/decl_check/case_conv.rs
cfg.rs,5.124,0.270,34.658,26.703,false,true,crates/ide_completion/src/completions/attribute/cfg.rs
cfg_expr.rs,27.871,0.784,71.271,39.573,false,true,crates/cfg/src/cfg_expr.rs
cfg_flag.rs,0.000,0.000,342.000,72.000,false,true,crates/project_model/src/cfg_flag.rs
chalk_db.rs,108.814,0.812,184.661,75.739,false,true,crates/hir_ty/src/chalk_db.rs
chalk_ext.rs,59.126,0.469,658.166,162.505,false,true,crates/hir_ty/src/chalk_ext.rs
change.rs,11.014,0.551,29.068,22.642,false,true,crates/base_db/src/change.rs
change_visibility.rs,31.479,0.899,35.067,5.316,false,true,crates/ide_assists/src/handlers/change_visibility.rs
changelog.rs,0.000,0.000,1260.000,140.000,false,true,xtask/src/release/changelog.rs
child_by_source.rs,60.405,1.078,77.193,9.830,false,true,crates/hir_def/src/child_by_source.rs
cli.rs,0.000,0.000,110.000,40.000,false,true,crates/rust-analyzer/src/cli.rs
cli.rs,0.000,0.000,90.000,36.000,false,true,crates/proc_macro_srv/src/cli.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/client.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_55/proc_macro/bridge/client.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/client.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/client.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_55/proc_macro/bridge/closure.rs
closure.rs,13.206,0.825,16.013,2.370,false,false,crates/hir_ty/src/infer/closure.rs
coerce.rs,96.922,1.176,103.019,23.543,false,true,crates/hir_ty/src/infer/coerce.rs
coercion.rs,104.789,2.911,36.000,1.440,false,true,crates/hir_ty/src/tests/coercion.rs
collector.rs,271.562,1.146,305.181,43.186,false,true,crates/hir_def/src/nameres/collector.rs
completions.rs,35.021,0.761,46.478,11.208,false,true,crates/ide_completion/src/completions.rs
config.rs,3.520,0.440,8.000,0.320,false,false,crates/ide_completion/src/config.rs
config.rs,0.000,0.000,58322.000,964.000,false,true,crates/rust-analyzer/src/config.rs
const_.rs,8.651,0.721,12.032,2.909,false,false,crates/ide_completion/src/render/const_.rs
consteval.rs,4.571,0.381,13.152,9.600,false,false,crates/hir_ty/src/consteval.rs
consts.rs,10.385,1.154,9.000,0.360,false,false,crates/parser/src/grammar/items/consts.rs
context.rs,149.277,0.916,163.422,16.389,false,true,crates/ide_completion/src/context.rs
convert_bool_then.rs,120.628,1.311,92.208,10.702,false,true,crates/ide_assists/src/handlers/convert_bool_then.rs
convert_comment_block.rs,63.944,1.640,39.000,1.560,false,true,crates/ide_assists/src/handlers/convert_comment_block.rs
convert_integer_literal.rs,30.231,1.042,29.000,1.160,false,false,crates/ide_assists/src/handlers/convert_integer_literal.rs
convert_into_to_from.rs,95.333,2.465,43.016,3.534,false,true,crates/ide_assists/src/handlers/convert_into_to_from.rs
convert_iter_for_each_to_for.rs,116.908,1.719,68.011,3.603,false,true,crates/ide_assists/src/handlers/convert_iter_for_each_to_for.rs
convert_to_guarded_return.rs,101.836,2.039,55.003,2.296,false,true,crates/ide_assists/src/handlers/convert_to_guarded_return.rs
convert_tuple_struct_to_named_struct.rs,132.282,2.362,56.000,0.304,false,true,crates/ide_assists/src/handlers/convert_tuple_struct_to_named_struct.rs
convert_while_to_loop.rs,23.054,1.441,16.000,0.640,false,false,crates/ide_assists/src/handlers/convert_while_to_loop.rs
data.rs,44.000,0.800,55.035,4.962,false,true,crates/hir_def/src/data.rs
db.rs,88.330,0.869,122.357,29.459,false,true,crates/hir_expand/src/db.rs
db.rs,1.200,0.400,3.000,0.120,false,false,crates/hir/src/db.rs
db.rs,1.085,0.271,4.000,0.160,false,false,crates/hir_def/src/db.rs
db.rs,2.822,0.282,10.569,7.143,false,false,crates/hir_ty/src/db.rs
decl_check.rs,106.310,0.770,159.194,53.862,false,true,crates/hir_ty/src/diagnostics/decl_check.rs
deconstruct_pat.rs,130.889,0.809,282.604,104.037,false,true,crates/hir_ty/src/diagnostics/match_check/deconstruct_pat.rs
defs.rs,115.854,0.823,190.139,47.307,false,true,crates/ide_db/src/defs.rs
derive.rs,27.281,0.758,36.081,5.703,false,true,crates/ide_completion/src/completions/attribute/derive.rs
destructure_tuple_binding.rs,332.717,2.210,155.000,1.624,false,true,crates/ide_assists/src/handlers/destructure_tuple_binding.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_55/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/diagnostic.rs
diagnostics.rs,0.000,0.000,210.000,56.000,false,true,crates/rust-analyzer/src/cli/diagnostics.rs
diagnostics.rs,8.556,0.713,12.002,1.215,false,false,crates/hir_def/src/nameres/diagnostics.rs
diagnostics.rs,0.042,0.021,4.630,6.957,false,false,crates/hir/src/diagnostics.rs
diagnostics.rs,0.000,0.000,380.000,76.000,false,true,crates/rust-analyzer/src/diagnostics.rs
diff.rs,0.000,0.000,90.000,36.000,false,true,crates/rust-analyzer/src/diff.rs
dispatch.rs,0.000,0.000,1892.000,172.000,false,true,crates/rust-analyzer/src/dispatch.rs
display.rs,26.532,0.856,32.356,13.907,false,false,crates/syntax/src/display.rs
display.rs,177.928,1.038,298.652,85.678,false,true,crates/hir/src/display.rs
display.rs,283.029,0.903,6347.965,575.445,false,true,crates/hir_ty/src/display.rs
display_source_code.rs,28.904,3.212,9.000,0.360,false,true,crates/hir_ty/src/tests/display_source_code.rs
dist.rs,0.000,0.000,2256.000,188.000,false,true,xtask/src/dist.rs
dnf.rs,90.151,0.798,121.772,39.882,false,true,crates/cfg/src/dnf.rs
doc_links.rs,136.973,1.958,129.848,28.499,false,true,crates/ide/src/doc_links.rs
dot.rs,117.477,1.958,60.001,1.463,false,true,crates/ide_completion/src/completions/dot.rs
dylib.rs,13.743,0.264,444.712,109.333,false,true,crates/proc_macro_srv/src/dylib.rs
