FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
diagnostic.rs,0.000,0.000,812.000,112.000,false
quote.rs,0.000,0.000,210.000,56.000,false
rustc_server.rs,49.966,0.269,10466.264,496.477,false
mod.rs,0.000,0.000,702.000,104.000,false
mod.rs,8.877,0.370,53.674,35.721,false
tests.rs,52.242,1.582,37.024,3.852,false
assist_config.rs,0.000,0.000,2.000,4.000,false
lib.rs,2.291,0.573,4.000,0.160,false
gen_trait_fn_body.rs,129.925,1.500,144.233,12.904,false
suggest_name.rs,140.210,1.140,123.112,9.579,false
add_missing_match_arms.rs,251.988,1.984,127.002,2.690,false
generate_getter.rs,67.500,2.250,30.000,0.283,false
generate_constant.rs,19.710,1.159,17.000,0.680,false
change_visibility.rs,31.479,0.899,35.067,5.316,false
generate_documentation_template.rs,277.671,1.791,155.000,1.346,false
generate_from_impl_for_enum.rs,53.895,1.684,32.000,1.280,false
extract_module.rs,249.329,1.410,237.753,83.859,false
add_return_type.rs,70.800,1.329,59.000,2.360,false
flip_binexpr.rs,27.077,0.967,28.009,2.489,false
replace_string_with_char.rs,39.263,1.571,25.000,1.000,false
promote_local_to_const.rs,38.000,1.000,38.029,4.108,false
flip_comma.rs,14.500,1.036,14.000,0.560,false
generate_enum_projection_method.rs,36.111,1.444,25.000,1.000,false
auto_import.rs,166.348,2.727,61.000,0.249,false
generate_enum_is_method.rs,42.881,2.257,19.000,0.760,false
convert_into_to_from.rs,96.579,2.500,43.017,3.571,false
generate_function.rs,334.747,1.740,198.026,6.892,false
replace_let_with_if_let.rs,11.111,0.926,12.000,0.480,false
extract_type_alias.rs,76.017,1.188,67.016,23.117,false
replace_try_expr_with_match.rs,16.221,1.081,15.000,0.600,false
qualify_path.rs,230.821,2.343,102.000,1.432,false
inline_call.rs,238.115,2.006,131.024,5.894,false
generate_impl.rs,14.318,1.591,9.002,1.000,false
unwrap_result_return_type.rs,157.521,2.625,60.007,3.051,false
reorder_fields.rs,50.565,1.331,38.000,0.916,false
move_bounds.rs,13.108,0.771,17.110,4.928,false
generate_is_empty_from_len.rs,42.629,1.853,23.000,0.920,false
generate_deref.rs,38.195,1.317,29.000,0.712,false
