FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
cfg.rs,5.124,0.270,34.658,26.703,false,true,crates/ide_completion/src/completions/attribute/cfg.rs
cfg_expr.rs,27.871,0.784,71.271,39.573,false,true,crates/cfg/src/cfg_expr.rs
cfg_flag.rs,8.333,0.333,83.696,45.455,false,true,crates/project_model/src/cfg_flag.rs
chalk_db.rs,108.814,0.812,187.575,77.164,false,true,crates/hir_ty/src/chalk_db.rs
chalk_ext.rs,62.388,0.521,493.696,143.664,false,true,crates/hir_ty/src/chalk_ext.rs
change.rs,11.014,0.551,29.068,22.642,false,true,crates/base_db/src/change.rs
change_visibility.rs,31.479,0.899,35.067,5.316,false,true,crates/ide_assists/src/handlers/change_visibility.rs
changelog.rs,0.000,0.000,1260.000,140.000,false,true,xtask/src/release/changelog.rs
child_by_source.rs,57.200,0.794,72.104,7.837,false,true,crates/hir_def/src/child_by_source.rs
cli.rs,0.000,0.000,110.000,40.000,false,true,crates/rust-analyzer/src/cli.rs
cli.rs,0.000,0.000,90.000,36.000,false,true,crates/proc_macro_srv/src/cli.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_54/proc_macro/bridge/client.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/client.rs
client.rs,6.097,0.145,4943.741,296.727,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/client.rs
client.rs,0.000,0.000,7140.000,336.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/client.rs
closure.rs,2.211,0.316,8.815,9.333,false,false,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/bridge/closure.rs
closure.rs,0.000,0.000,56.000,28.000,false,true,crates/proc_macro_srv/src/abis/abi_1_54/proc_macro/bridge/closure.rs
closure.rs,13.206,0.825,16.013,2.370,false,false,crates/hir_ty/src/infer/closure.rs
coerce.rs,96.922,1.176,103.019,23.543,false,true,crates/hir_ty/src/infer/coerce.rs
coercion.rs,104.789,2.911,36.000,1.440,false,true,crates/hir_ty/src/tests/coercion.rs
collector.rs,271.202,1.175,309.793,53.206,false,true,crates/hir_def/src/nameres/collector.rs
completions.rs,52.677,0.742,72.282,17.991,false,true,crates/ide_completion/src/completions.rs
config.rs,47.875,0.299,23891.815,729.830,false,true,crates/rust-analyzer/src/config.rs
config.rs,3.520,0.440,8.000,0.320,false,false,crates/ide_completion/src/config.rs
const_.rs,6.125,0.875,7.005,1.273,false,false,crates/ide_completion/src/render/const_.rs
consteval.rs,68.034,0.716,1186.230,216.683,false,true,crates/hir_ty/src/consteval.rs
consts.rs,10.385,1.154,9.000,0.360,false,false,crates/parser/src/grammar/items/consts.rs
context.rs,168.432,0.886,190.688,20.297,false,true,crates/ide_completion/src/context.rs
convert_bool_then.rs,120.628,1.311,92.208,10.702,false,true,crates/ide_assists/src/handlers/convert_bool_then.rs
convert_comment_block.rs,64.071,1.643,39.000,1.560,false,true,crates/ide_assists/src/handlers/convert_comment_block.rs
convert_integer_literal.rs,30.231,1.042,29.000,1.160,false,false,crates/ide_assists/src/handlers/convert_integer_literal.rs
convert_into_to_from.rs,96.579,2.500,43.017,3.571,false,true,crates/ide_assists/src/handlers/convert_into_to_from.rs
convert_iter_for_each_to_for.rs,116.720,1.716,68.011,3.595,false,true,crates/ide_assists/src/handlers/convert_iter_for_each_to_for.rs
convert_to_guarded_return.rs,101.836,2.039,55.003,2.296,false,true,crates/ide_assists/src/handlers/convert_to_guarded_return.rs
convert_tuple_struct_to_named_struct.rs,132.641,2.369,56.000,0.605,false,true,crates/ide_assists/src/handlers/convert_tuple_struct_to_named_struct.rs
convert_while_to_loop.rs,23.054,1.441,16.000,0.640,false,false,crates/ide_assists/src/handlers/convert_while_to_loop.rs
data.rs,58.919,0.775,76.095,7.721,false,true,crates/hir_def/src/data.rs
db.rs,1.200,0.400,3.000,0.120,false,false,crates/hir/src/db.rs
db.rs,1.550,0.310,5.000,0.200,false,false,crates/hir_def/src/db.rs
db.rs,2.805,0.280,10.569,7.143,false,false,crates/hir_ty/src/db.rs
db.rs,90.321,0.909,121.100,28.606,false,true,crates/hir_expand/src/db.rs
decl_check.rs,106.057,0.768,160.393,55.086,false,true,crates/hir_ty/src/diagnostics/decl_check.rs
deconstruct_pat.rs,142.017,0.835,393.328,135.095,false,true,crates/hir_ty/src/diagnostics/match_check/deconstruct_pat.rs
defs.rs,137.427,0.863,218.406,53.263,false,true,crates/ide_db/src/defs.rs
derive.rs,25.289,0.744,34.089,5.787,false,false,crates/ide_completion/src/completions/attribute/derive.rs
destructure_tuple_binding.rs,333.093,2.212,155.000,1.624,false,true,crates/ide_assists/src/handlers/destructure_tuple_binding.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_47/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_54/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_58/proc_macro/diagnostic.rs
diagnostic.rs,0.000,0.000,812.000,112.000,false,true,crates/proc_macro_srv/src/abis/abi_1_56/proc_macro/diagnostic.rs
diagnostics.rs,0.043,0.021,4.630,6.957,false,false,crates/hir/src/diagnostics.rs
diagnostics.rs,0.447,0.024,345.090,73.467,false,true,crates/rust-analyzer/src/diagnostics.rs
diagnostics.rs,0.000,0.000,210.000,56.000,false,true,crates/rust-analyzer/src/cli/diagnostics.rs
diagnostics.rs,8.556,0.713,12.002,1.215,false,false,crates/hir_def/src/nameres/diagnostics.rs
diff.rs,6.848,0.761,9.158,4.500,false,false,crates/rust-analyzer/src/diff.rs
dispatch.rs,0.000,0.000,1892.000,172.000,false,true,crates/rust-analyzer/src/dispatch.rs
display.rs,178.676,1.046,297.707,85.610,false,true,crates/hir/src/display.rs
display.rs,20.883,0.870,24.320,7.890,false,false,crates/syntax/src/display.rs
display.rs,290.768,0.910,6241.377,574.965,false,true,crates/hir_ty/src/display.rs
display_source_code.rs,28.904,3.212,9.000,0.360,false,true,crates/hir_ty/src/tests/display_source_code.rs
dist.rs,0.000,0.000,2162.000,184.000,false,true,xtask/src/dist.rs
dnf.rs,89.735,0.794,123.085,41.782,false,true,crates/cfg/src/dnf.rs
doc_links.rs,99.394,1.331,131.680,40.883,false,true,crates/ide/src/doc_links.rs
dot.rs,126.175,2.003,63.001,1.740,false,true,crates/ide_completion/src/completions/dot.rs
dylib.rs,21.497,0.406,100.354,54.359,false,true,crates/proc_macro_srv/src/dylib.rs
dyn_map.rs,6.406,0.246,73.896,43.034,false,true,crates/hir_def/src/dyn_map.rs
eager.rs,31.028,0.858,59.948,34.500,false,true,crates/hir_expand/src/eager.rs
edit.rs,31.746,0.648,79.502,45.733,false,true,crates/syntax/src/ast/edit.rs
edit_in_place.rs,119.000,0.583,1025.066,220.494,false,true,crates/syntax/src/ast/edit_in_place.rs
enum_variant.rs,13.906,0.927,15.000,0.667,false,false,crates/ide_completion/src/render/enum_variant.rs
errors.rs,1.714,0.286,6.105,3.429,false,false,crates/ide_ssr/src/errors.rs
event.rs,8.542,0.610,14.004,1.514,false,false,crates/parser/src/event.rs
expand_glob_import.rs,205.541,2.635,78.009,3.559,false,true,crates/ide_assists/src/handlers/expand_glob_import.rs
expand_macro.rs,70.048,1.629,43.060,5.495,false,true,crates/ide/src/expand_macro.rs
expander.rs,5.077,0.635,8.000,0.320,false,false,crates/mbe/src/expander.rs
expr.rs,249.798,1.257,322.356,67.071,false,true,crates/hir_ty/src/infer/expr.rs
expr.rs,18.689,0.557,60.705,23.821,false,true,crates/hir_def/src/expr.rs
