FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
app.rs,70.573,0.793,98.622,37.985,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
command.rs,11.557,0.770,15.000,0.600,false,false,src/command.rs
context.rs,20.667,0.667,32.661,14.880,false,false,src/context.rs
flag.rs,34.094,0.741,48.116,18.400,false,true,src/flag.rs
lib.rs,0.091,0.091,1.000,0.040,false,false,src/lib.rs
multiple_app.rs,0.000,0.000,56.000,28.000,false,true,examples/multiple_app.rs
single_app.rs,0.000,0.000,20.000,16.000,false,false,examples/single_app.rs
AVG,17.123,0.383,72.175,22.988,false,false,-
MAX,70.573,0.793,306.000,68.000,false,false,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
app.rs,70.573,0.793,98.622,37.985,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
flag.rs,34.094,0.741,48.116,18.400,false,true,src/flag.rs
multiple_app.rs,0.000,0.000,56.000,28.000,false,true,examples/multiple_app.rs
TOTAL COMPLEX FILES,4,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../TimeAnalysis/seahorse-0.6.1/src/action.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,1,,,,,,
