FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
app.rs,64.585,0.818,91.005,39.299,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
command.rs,11.557,0.770,15.000,0.600,false,false,src/command.rs
context.rs,20.667,0.667,32.661,14.880,false,false,src/context.rs
flag.rs,35.265,0.735,50.304,19.200,false,true,src/flag.rs
lib.rs,0.091,0.091,1.000,0.040,false,false,src/lib.rs
multiple_app.rs,0.000,0.000,132.000,44.000,false,true,examples/multiple_app.rs
single_app.rs,0.000,0.000,20.000,16.000,false,false,examples/single_app.rs
AVG,16.521,0.385,80.996,25.252,false,false,-
MAX,64.585,0.818,306.000,68.000,false,false,-
LIST OF COMPLEX FILES,----------,----------,----------,----------,----------,----------,----------
app.rs,64.585,0.818,91.005,39.299,false,true,src/app.rs
color.rs,0.000,0.000,306.000,68.000,false,true,src/color.rs
flag.rs,35.265,0.735,50.304,19.200,false,true,src/flag.rs
multiple_app.rs,0.000,0.000,132.000,44.000,false,true,examples/multiple_app.rs
TOTAL COMPLEX FILES,4,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../TimeAnalysis/seahorse-0.7.1/src/action.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,1,,,,,,
