FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
app.rs,78.571,0.786,129.375,57.286,false
color.rs,0.000,0.000,306.000,68.000,false
command.rs,25.859,0.718,41.018,22.612,false
context.rs,24.316,0.737,33.468,9.962,false
error.rs,0.531,0.031,257.941,64.000,false
flag.rs,34.696,0.738,48.329,15.870,false
help.rs,1.500,0.500,3.000,0.120,false
lib.rs,0.071,0.071,1.000,0.040,false
multiple_app.rs,0.000,0.000,552.000,92.000,false
single_app.rs,0.000,0.000,20.000,16.000,false
AVG,16.555,0.358,139.213,34.589,false
MIN,0.000,0.000,1.000,0.040,false
MAX,78.571,0.786,552.000,92.000,false
LIST OF IGNORED FILES,----------,----------,----------,----------,----------
action.rs,0.000,0.000,0.000,0.000,true
TOTAL FILES IGNORED,1,,,,
