FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
app.rs,79.215,0.792,123.974,53.535,false
command.rs,26.000,0.722,40.777,22.244,false
context.rs,24.316,0.737,33.468,9.962,false
error.rs,0.531,0.031,257.941,64.000,false
flag.rs,34.696,0.738,48.329,15.870,false
help.rs,1.500,0.500,3.000,0.120,false
lib.rs,0.077,0.077,1.000,0.040,false
multiple_app.rs,0.000,0.000,552.000,92.000,false
single_app.rs,0.000,0.000,20.000,16.000,false
AVG,18.482,0.400,120.054,30.419,false
MIN,0.000,0.000,1.000,0.040,false
MAX,79.215,0.792,552.000,92.000,false
LIST OF IGNORED FILES,----------,----------,----------,----------,----------
action.rs,0.000,0.000,0.000,0.000,true
TOTAL FILES IGNORED,1,,,,
