FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
receiver.rs,39.222,0.630,236.573,90.704,false,true,serde_derive/src/internals/receiver.rs
de.rs,19.719,0.580,37.251,19.196,false,true,serde_test/src/de.rs
build.rs,14.071,0.906,70.112,41.870,false,true,serde/build.rs
value.rs,4.571,0.169,232.808,70.849,false,true,serde/src/de/value.rs
ser.rs,3.754,0.268,59.154,34.330,false,true,serde/src/private/ser.rs
TOTAL COMPLEX FILES,11,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../serde/serde/src/integer128.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/serde/src/ser/impossible.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/serde/src/std_error.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/target/debug/build/rustversion-db9706c26f7e7e95/out/version.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/target/tests/serde_test_suite/main.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/target/tests/target/debug/build/rustversion-db9706c26f7e7e95/out/version.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/no_std/src/main.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/de_enum.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/de_enum.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/default_ty_param.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/default_ty_param.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_enum.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_enum.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_struct.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_tuple_struct.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/generic_tuple_struct.rs,0.000,0.000,0.000,0.000,true,-,-
