FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"<anonymous> (58, 58)",0.000,1.000,0.000,0.000,false,false,"/Context (15,172)/result_flag_value (54,67)/<anonymous> (58,58)"
"<anonymous> (58, 58)",0.000,1.000,0.000,0.000,false,false,"/Context (15,172)/result_flag_value (54,67)/<anonymous> (58,58)/<anonymous> (58,58)"
error.rs,0.062,0.031,5.335,7.529,false,false,src/error.rs
"description (26, 34)",0.000,0.000,2.000,4.000,false,false,"/FlagError (25,35)/description (26,34)"
"fmt (14, 22)",0.000,0.000,2.000,4.000,false,false,"/FlagError (13,23)/fmt (14,22)"
flag.rs,17.717,0.738,24.346,8.104,false,false,src/flag.rs
"opiton_index (155, 175)",0.000,0.762,0.000,0.000,false,false,"/opiton_index (155,175)"
"construct_fail_1 (179, 181)",0.000,1.000,0.000,0.000,false,false,"/construct_fail_1 (179,181)"
"construct_fail_2 (185, 187)",0.000,1.000,0.000,0.000,false,false,"/construct_fail_2 (185,187)"
"construct_fail_3 (191, 193)",0.000,1.000,0.000,0.000,false,false,"/construct_fail_3 (191,193)"
"bool_flag_test (196, 209)",0.923,0.923,1.000,0.308,false,false,"/bool_flag_test (196,209)"
"string_flag_test (212, 226)",0.929,0.929,1.000,0.286,false,false,"/string_flag_test (212,226)"
"int_flag_test (229, 243)",0.929,0.929,1.000,0.286,false,false,"/int_flag_test (229,243)"
"float_flag_test (246, 260)",0.929,0.929,1.000,0.286,false,false,"/float_flag_test (246,260)"
"new (47, 74)",3.500,1.167,3.000,0.000,false,false,"/Flag (36,148)/new (47,74)"
"description (86, 89)",0.000,0.000,0.000,0.000,false,false,"/Flag (36,148)/description (86,89)"
"alias (105, 112)",1.500,0.750,2.012,1.143,false,false,"/Flag (36,148)/alias (105,112)"
"option_index (115, 122)",1.750,0.875,2.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)"
"value (125, 147)",7.348,0.565,15.202,12.235,false,false,"/Flag (36,148)/value (125,147)"
"<anonymous> (117, 119)",1.000,1.000,1.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (117,119)"
"<anonymous> (120, 120)",0.000,1.000,0.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (120,120)"
"<anonymous> (118, 118)",0.000,1.000,0.000,0.000,false,false,"/Flag (36,148)/option_index (115,122)/<anonymous> (117,119)/<anonymous> (118,118)"
help.rs,0.000,0.500,0.000,0.000,false,false,src/help.rs
"help (4, 6)",0.000,1.000,0.000,0.000,false,false,"/Help (1,7)/help (4,6)"
lib.rs,0.000,0.077,0.000,0.000,false,false,src/lib.rs
multiple_app.rs,0.000,0.000,72.000,32.000,false,true,examples/multiple_app.rs
"main (4, 21)",0.000,0.000,0.000,0.000,false,false,"/main (4,21)"
"hello_action (23, 51)",0.000,0.000,72.000,32.000,false,true,"/hello_action (23,51)"
"hello_command (53, 71)",0.000,0.000,0.000,0.000,false,false,"/hello_command (53,71)"
"add_action (73, 76)",0.000,0.000,0.000,0.000,false,false,"/add_action (73,76)"
"add_command (78, 83)",0.000,0.000,0.000,0.000,false,false,"/add_command (78,83)"
"<anonymous> (74, 74)",0.000,0.000,0.000,0.000,false,false,"/add_action (73,76)/<anonymous> (74,74)"
"<anonymous> (11, 11)",0.000,0.000,0.000,0.000,false,false,"/main (4,21)/<anonymous> (11,11)"
single_app.rs,0.000,0.000,6.000,8.000,false,false,examples/single_app.rs
"main (4, 21)",0.000,0.000,0.000,0.000,false,false,"/main (4,21)"
"action (23, 29)",0.000,0.000,6.000,8.000,false,false,"/action (23,29)"
PROJECT,35.605,0.676,522.331,156.818,false,false,-
AVG,13.582,0.416,29.284,13.870,false,false,-
MAX,66.540,0.887,100.916,44.970,false,false,-
MIN,0.000,0.000,0.000,0.000,false,false,-
PROJECT_COVERAGE,77.210,-,-,-,-,-,-
LIST OF COMPLEX FUNCTIONS,----------,----------,----------,----------,----------,----------,----------
"command_help_text (329, 369)",2.400,0.171,114.352,44.800,false,true,"/App (24,370)/command_help_text (329,369)"
"hello_action (23, 51)",0.000,0.000,72.000,32.000,false,true,"/hello_action (23,51)"
TOTAL COMPLEX FUNCTIONS,2,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../seahorse/src/action.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,1,,,,,,
