FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
compiletest.rs,0.000,0.857,0.000,0.000,false,false,tests/compiletest.rs
"ui (4, 7)",0.000,1.000,0.000,0.000,false,false,"/ui (4,7)"
de.rs,116.130,0.537,314.166,107.403,false,true,src/de.rs
"from_trait (2406, 2417)",0.000,1.000,0.000,0.000,false,false,"/from_trait (2406,2417)"
"from_reader (2524, 2530)",0.000,1.000,0.000,0.000,false,false,"/from_reader (2524,2530)"
"from_slice (2567, 2572)",0.000,1.000,0.000,0.000,false,false,"/from_slice (2567,2572)"
"from_str (2609, 2614)",0.000,1.000,0.000,0.000,false,false,"/from_str (2609,2614)"
"next (2350, 2394)",8.324,0.757,11.110,4.258,false,false,"/StreamDeserializer<'de, R, T> (2343,2395)/next (2350,2394)"
"<anonymous> (2380, 2380)",0.000,1.000,0.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2343,2395)/next (2350,2394)/<anonymous> (2380,2380)"
"new (2281, 2290)",0.000,0.000,0.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/new (2281,2290)"
"byte_offset (2323, 2325)",0.000,1.000,0.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/byte_offset (2323,2325)"
"peek_end_of_value (2327, 2340)",0.714,0.714,1.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/peek_end_of_value (2327,2340)"
"deserialize_any (2151, 2161)",0.909,0.909,1.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_any (2151,2161)"
"deserialize_option (2178, 2184)",0.000,0.000,0.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_option (2178,2184)"
"deserialize_newtype_struct (2187, 2200)",1.077,1.077,1.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_newtype_struct (2187,2200)"
"deserialize_enum (2203, 2213)",0.000,1.000,0.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_enum (2203,2213)"
"deserialize_bytes (2216, 2221)",0.000,0.000,0.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_bytes (2216,2221)"
"deserialize_byte_buf (2224, 2229)",0.000,0.000,0.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_byte_buf (2224,2229)"
"unit_variant (2085, 2087)",0.000,1.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/unit_variant (2085,2087)"
"newtype_variant_seed (2089, 2097)",0.000,1.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/newtype_variant_seed (2089,2097)"
"tuple_variant (2099, 2107)",0.000,1.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/tuple_variant (2099,2107)"
"struct_variant (2109, 2117)",0.000,0.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/struct_variant (2109,2117)"
"variant_seed (2073, 2079)",0.000,1.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2069,2080)/variant_seed (2073,2079)"
"new (2064, 2066)",0.000,1.000,0.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2063,2067)/new (2064,2066)"
"unit_variant (2033, 2035)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/unit_variant (2033,2035)"
"newtype_variant_seed (2037, 2042)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/newtype_variant_seed (2037,2042)"
"tuple_variant (2044, 2049)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/tuple_variant (2044,2049)"
"struct_variant (2051, 2056)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/struct_variant (2051,2056)"
"variant_seed (2020, 2027)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2016,2028)/variant_seed (2020,2027)"
"new (2011, 2013)",0.000,1.000,0.000,0.000,false,false,"/VariantAccess<'a, R> (2010,2014)/new (2011,2013)"
"next_key_seed (1963, 1994)",3.387,0.677,5.000,0.000,false,false,"/MapAccess<'a, R> (1960,2004)/next_key_seed (1963,1994)"
"next_value_seed (1996, 2003)",0.000,1.000,0.000,0.000,false,false,"/MapAccess<'a, R> (1960,2004)/next_value_seed (1996,2003)"
"new (1955, 1957)",0.000,1.000,0.000,0.000,false,false,"/MapAccess<'a, R> (1954,1958)/new (1955,1957)"
"next_element_seed (1916, 1946)",3.333,0.667,5.000,0.000,false,false,"/SeqAccess<'a, R> (1913,1947)/next_element_seed (1916,1946)"
"new (1908, 1910)",0.000,1.000,0.000,0.000,false,false,"/SeqAccess<'a, R> (1907,1911)/new (1908,1910)"
"deserialize_any (1310, 1384)",6.000,0.667,9.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_any (1310,1384)"
"deserialize_bool (1386, 1415)",1.714,0.571,3.035,1.895,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_bool (1386,1415)"
"deserialize_f32 (1430, 1438)",0.000,0.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_f32 (1430,1438)"
"deserialize_char (1504, 1509)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_char (1504,1509)"
"deserialize_str (1511, 1538)",3.462,0.692,5.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_str (1511,1538)"
"deserialize_string (1540, 1545)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_string (1540,1545)"
"deserialize_bytes (1617, 1645)",2.778,0.556,5.233,4.211,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_bytes (1617,1645)"
"deserialize_byte_buf (1648, 1653)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_byte_buf (1648,1653)"
"deserialize_option (1657, 1669)",0.769,0.769,1.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_option (1657,1669)"
"deserialize_unit (1671, 1695)",2.087,0.696,3.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_unit (1671,1695)"
