FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK
multiple_app.rs,0.000,0.000,72.000,32.000
single_app.rs,0.000,0.000,6.000,8.000
help.rs,0.000,0.500,0.000,0.000
app.rs,66.540,0.792,100.916,44.970
lib.rs,0.000,0.077,0.000,0.000
flag.rs,17.717,0.738,24.346,8.104
error.rs,0.062,0.031,5.335,7.529
context.rs,18.421,0.887,25.269,7.547
command.rs,19.500,0.722,29.687,16.683
AVG,13.582,0.416,29.284,13.870
MIN,0.000,0.000,0.000,0.000
MAX,66.540,0.887,100.916,44.970
